0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,9,9,0,0,0,0,9,9,0,0,0,0
0,0,0,9,2,2,9,0,0,9,2,2,9,0,0,0
0,0,0,9,2,9,2,9,9,2,9,2,9,0,0,0
0,0,9,2,2,9,2,2,2,2,9,2,2,9,0,0
0,0,9,2,4,4,2,2,2,2,4,4,2,9,0,0
0,0,9,2,2,2,9,9,9,9,2,2,2,9,0,0
0,0,9,2,2,2,2,2,2,2,2,2,2,9,0,0
0,0,9,2,2,2,2,2,2,2,2,2,2,9,0,0
0,0,0,9,9,9,9,9,9,9,9,9,9,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0


